This time tomorrow ill at the airport #happy	joy
Feels so good to be in my bed.. had a wounderful weekend I need more weekends like this.. #happy	joy
I love a home cooked meal. #happy	joy
@nickmon1112 @bioware is this the type of people you employ, people who joke about killing other races? #shameful	sadness
Wldnt it be great if when @realDonaldTrump policies start to kick in that we see the debt clock start going in reverse?! 🙌😀 #Happy	joy
"I be walking like a penguin 🐧
#SORE"	anger
If u ever want to see inefficiency at work, go @TxDPS. Been here for 3 hrs (8am) to only have 20 ppl served Now it's lunch break time #awful	sadness
All this time I've been trying to find another you, and now I have you back. #nomorelooking #perfect #happy	joy
tomorrow is the first day of clinicals for nursing #scared 😬	fear
@ScottAdamsSays @feronialevia @CNN They don't even hide their contempt and bias  anymore. #disgraceful	sadness
Wow it's below 100 today?? #shocked	surprise
Finally downloaded all the paramore albums... :D YAY! #HAPPY	joy
@DFSCare so you have me a follow but no question about the customer experience I've received to date... which supports my argument #shocking	fear
I will not have access to my phone for a few weeks. If you wanna reach out to me I'll try to keep up with Facebook messages. #sorry	sadness
@Lion_ofSoca lmfao Smh &amp; I'm hip first she stole it and then Jaz doesn't come that's when we see the blistex again lol smh #pathetic	sadness
OMG. Who do I make a shout-out to? #surprise	surprise
Finnally getting my hair cut #happy	joy
@LaurenBuggie30 but I'm yours truly(: #Happy	joy
Are you all a bunch of sluts? #Disgusted	disgust
Bill's legislation that placed thousands of black men in prison for non-violent drug offenses, hurting the black community is #deplorable	sadness
@KTLA @ScottBaio @GOPconvention Scott scraping bottom of barrel. #pathetic	sadness
Some great definitions of Faith - 'faith is the willingness to look foolish' #faith	trust
Having old friends walk back into your life is one of the best feelings #relieved #happy	joy
Was a great night for sure :p #happy	joy
Niggaz Cant stop us So they run to the Feds 🔥🐀 #Scary	fear
Aw my dads gf offered to pay for the dress that I wanna get for the wedding:) #happy #cantwait	joy
Magnificent job done by @VictoriaPolice.  #Conviction	trust
I still get that feeling i have had since day 1. Man you must be special to me #Happy	joy
Great night...booze,ice caps,hockey, casino and just smiles all around :) #beer #happy	joy
"Fear of death makes us devoid both of valour and religion. For want of valour is want of religious faith. 
~~Mohandas Gandhi #atheism #fear"	fear
Visiting my grandparents was the best idea I've had in a while. They always know exactly what to say. #happy	joy
The large tatted man driving a pickup truck had a wiener dog in his lap #surprised	surprise
This is when you run off TV, music, even conversation, and just listen to Mother Nature.  #stormy	anger
Had the best day and night ever yesterday! #family #friends #happy	joy
You went home to switch cars #pathetic	sadness
@LittleDebbie got home from work to find that my amazing wife had her cousin to post lots of your treats to me (we live in the UK). #happy	joy
Today is my day #happybirthday to me :D #cancer #happy	joy
@davefarrimond music doesn't no, sadly its t industry that does- hyped by media &amp; what WE all buy/aspire to/watch etc etc! #awful	sadness
@TheO2 thanks for wasting my money on good seats!! Ruined by a staff member who has no sense. Autistic child meltdown so left #angry	anger
The harder I try the harder it gets. No one told me the road would be easy. But I don't believe He's bought me this far to leave me.#Faith	trust
I have true love and I'll never leave it again #happy	joy
Why do you girls act so tough on twitter but won't say or do shit to anyone in person?! Act like best friends to them! #Scared	fear
Great morning mc d's breakfast treat then bowling with my boys... Bit of playing in the park next on this beaut day!☀ #springiscoming #happy	joy
#gossipgirl today @StefAbiGerges. That means tomorrow we can DL it and enjoyyy:!! #cantwait	anticipation
@JeanieBuss as a fan of 35 years I see no one is free from blame, you guys have all made your bed and now must lay in it.  Truly #disgusted	disgust
I had a really nice day with my grandma and my brother☺ #happy	joy
my hair is as long as my 24 inch extensions now :o #happy	joy
Mobility @HeathrowAirport didn't take my 78yo mum to her flight &amp; @British_Airways left without her.10 hours not even a drink.#disgraceful	sadness
Number 1 way to piss me the fuck off is to tweet but not text me back..             #unhappy	sadness
OMG !!! This chili Mac is ON POINT!!! #selftaught #fatboy #food #happy	joy
@NatalieGregory_ go for it #better #happy	joy
One more day till vacations ☀🏊 #paradise #happy	joy
So the Swans can't pay £13m for one of the best players at Euro's but supposedly offer £8m for a nobody that Spurs don't want?! 🙈😡 #Pathetic	sadness
Done watching @espn after tonight's top 10 #terrible	fear
Just watched This Means War with mom! And we both wanted her to chose the British guy!! @bpenn94 I'm still mad at this ending!! #angry	anger
The fringe is back :) #hairchopped #happy	joy
I hate having the financial college discussion w/ my parents more than I hate fuzzy crocs with daisy dukes worn by a 300 lb man. #disgusted	disgust
Mt. Washington cog railway with the family :) #cantwait	anticipation
When you use to be close to someone and your starting to get close again:)! #Happy	joy
Rain rain go away coke again when I Get off work well ball it its cause nobody is in here home early #happy	joy
Was it worth it ummm no! Do I regret it no I just know better next time!#disgusted	disgust
@TheStumann @Welshcake74 @L0gg0l @kerpen I'm struggling to find my sense of humour about this. It's like Brexit all over again #traumatic	sadness
@louis3288 Awww, another name caller. Cute! #deplorable	sadness
"Oh wait my mom will get me married by them
😑
#Pathetic"	sadness
@JGood_37 yes, if during that hug you slip me a pick axe or something lol #angry	anger
Remember if you're pushed to your knees, you're in the perfect position to pray #Faith	trust
If everything works fine I m going on sunday to celebrate easter for first time with serbian community here in Argentina #happy	joy
Some of you are stressing and staying up all night worrying about things that GOD has already fixed!!! REST! #Faith ❤️󾍛🏽󾭙	trust
Never have I experienced such poor service than from @SkyUK @SkyHelpTeam yet again I have no broadband with no resolution! #fuming	anger
Awkward eye contact with man with a unibrow #sorry	sadness
Nothin' like eatin' Bugles in the morning:) #happy	joy
The trick is to enjoy life. Don't wish away your days, waiting for better ones ahead. #perspective #happy	joy
Get it together @LAFitness! Ur pool is hot. The room is hot &amp; the chlorine is so thick it's likely to bring on an asthma attack! #gross	disgust
@Erubero they make flying more refreshing #surprise	surprise
@TimgGilbert seriously again channel nine Melbourne cut the coverage as soon as full time was blown #disgraceful	sadness
@holliejanee none of you were expecting it were you! #surprise	surprise
I loveee em soo mucch.. He has noo ideaa. #Happy	joy
@RobScallon My correct order as been shipped so I proudly wait for the Anchor Vinyl and shirt to come ! :DD #happy	joy
the awkward moment when someone texts you back like 5 hours later & you don't want to talk to them anymore... #sorry	sadness
"Finally got a new phone!^-^
#Happy"	joy
My wife woke me up last night to tell me there was an intruder in our house...I get up then realise that shes been dead for 2 years #scary	fear
@zoedonaldson nah. just booked in 15 hours over next 2 month. 3 5 hour sittins then onto the next #CantWait	anticipation
Almost $5 for my coffee, but @Starbucks wants to increase my wait time to make more profit and also take away hours from staff?! #shameful	sadness
@nicola_tade Sorry, we're like the Masters golf, exclusively men! #Sorry	sadness
WhooHooo.! My agency just called me...! about time i found one! now...I hope she be my manager to!:)...#Happy	joy
@GatorsEite23 @TheDemocrats @donnabrazile This would be a start Truly they should disqualify Hillary but Donna needs out too #disgraceful	sadness
In other news don't trust these hos you're just a warm body to them they're incapable of love ^_^ #bitter	anger
@WeightWatchers new update is AWFUL and not user friendly. I used to be able to go into recently added and add food. Welp, no more. #awful	sadness
@carlinijoel  Had a great time with my dad, we went out for a jog #NothingBetter #GreatTime #Blessed #Nike #Happy	joy
I know i fucked up in the past but my fuck ups made me luck up wit yo ass... I jus wanna make u #happy	joy
HOW DOES STUFF LIKE THAT MAKE ITS WAY INTO A CONVERSATION??.... IT DOESNT! #ANGRY	anger
Thought it was gonna be hard to stay in this weekend, then saw there's a foam party at the frontier #disgraceful	sadness
Y'all wife women just to enter another girls DMs? #Disgusted	disgust
"@Radznanda  Arre wo nhi stu..... 
#sorry 😋"	sadness
@Pitt4Hillary @PostOpinions But it's the only thing the opposition's got. #Pitiful	sadness
The attempt to transition from employer-subsidized health insurance to self-insurance is a giant expletive-filled monkey wrench. #Surprise	surprise
@Jeff__Benjamin i find this to be so annoying. Are hash tags becoming the new emoticons? Instead of :)'s it'll be #happy	joy
I loooove my boyfriend 😍 #happy	joy
"""Who do you pick in this?"" ""Who the hell cares?"" Michael Cole on tazz's Commentary on the womens match at wrestlemania 2004 😒😒😒 #gross"	disgust
Then some Stella and Leanne #happy	joy
treason isn't partisan, but i have a feeling it will be treated as such. house and senate GOPs will go all in for their team #deplorable	sadness
@__clarkey been single for just under a year #happy	joy
😄😄😄 @hettiebutton can u imagine how bad they r in summer.....even a UK summer #nightmare	fear
